Name,Is featured?,Short description,In stock?,Low stock amount,Sold individually?,Weight (kg),Allow customer reviews?,Sale price,Regular price,Categories,Images
Frijoles Negros Roland 15.5 Oz ,1,Frijoles Negros Roland 15.5 Oz ,1,3,1,2,1,48.90,48.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Negros_Roland_15.5_Oz__lzOpQPsSw.png
Frijoles Blancos Goya 439 Gr ,1,Frijoles Blancos Goya 439 Gr ,1,3,1,2,1,42.90,42.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Blancos_Goya_439_Gr__7sZOviKDg.png
Frijoles Zambrano 1400 Gr ,1,Frijoles Zambrano 1400 Gr ,1,3,1,2,1,74.90,74.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Zambrano_1400_Gr__itk2ULl-AM.png
Frijoles La Preferida 1400 Gr ,1,Frijoles La Preferida 1400 Gr ,1,3,1,2,1,76.90,76.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_La_Preferida_1400_Gr__JnX5emsEP.png
Frijoles Negros La Costena Enteros 560 Gr ,1,Frijoles Negros La Costena Enteros 560 Gr ,1,3,1,2,1,32.90,32.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Negros_La_Costena_Enteros_560_Gr__dsde3Xn06O.png
Frijoles Don Chano Rosado 4 Lb ,1,Frijoles Don Chano Rosado 4 Lb ,1,3,1,2,1,75.12,75.123.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Don_Chano_Rosado_4_Lb__nnaAqGSht8.png
Frijoles Campbells Con Cerdo 14.8 Oz ,1,Frijoles Campbells Con Cerdo 14.8 Oz ,1,3,1,2,1,32.90,32.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Campbells_Con_Cerdo_14.8_Oz__6w1iO_Urb.png
Frijoles Essential Everyday Verdes Enlatados 14.5 Oz ,1,Frijoles Essential Everyday Verdes Enlatados 14.5 Oz ,1,3,1,2,1,26.90,26.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Essential_Everyday_Verdes_Enlatados_14.5_Oz__1BDnT43pv.png
Frijoles Essential Everyday Negro En Bolsa 16 Oz ,1,Frijoles Essential Everyday Negro En Bolsa 16 Oz ,1,3,1,2,1,49.90,49.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Essential_Everyday_Negro_En_Bolsa_16_Oz__Wm4QO2QnA.png
Chicharos Essential Everyday En Bolsa 16 Oz ,1,Chicharos Essential Everyday En Bolsa 16 Oz ,1,3,1,2,1,69.90,69.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Chicharos_Essential_Everyday_En_Bolsa_16_Oz__B1ijpx9zeO.png
Frijoles Goya Rojo Enlatados 15.5 Oz ,1,Frijoles Goya Rojo Enlatados 15.5 Oz ,1,3,1,2,1,39.90,39.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Goya_Rojo_Enlatados_15.5_Oz__6Bhz2gVM8.png
Chili Hormel Hot Con Frijoles 15 Oz ,1,Chili Hormel Hot Con Frijoles 15 Oz ,1,3,1,2,1,88.90,88.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Chili_Hormel_Hot_Con_Frijoles_15_Oz__E_pBuBloSv.png
Frijoles Sasson Cerdo Bush En Miel Enlatados 16 Oz ,1,Frijoles Sasson Cerdo Bush En Miel Enlatados 16 Oz ,1,3,1,2,1,60.90,60.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Sasson_Cerdo_Bush_En_Miel_Enlatados_16_Oz__ziFVvcC5v.png
Chili Hormel Sin Frijoles 10.5 Oz ,1,Chili Hormel Sin Frijoles 10.5 Oz ,1,3,1,2,1,75.90,75.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Chili_Hormel_Sin_Frijoles_10.5_Oz__8xq9Zrr4p.png
Frijoles Refritos La Chula Rojo Volteados 283 Gr ,1,Frijoles Refritos La Chula Rojo Volteados 283 Gr ,1,3,1,2,1,14.90,14.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Refritos_La_Chula_Rojo_Volteados_283_Gr__REGltuyCu9.png
Frijoles Bush Sazonado Con Tocino Y Azúcar Morena 28 Oz ,1,Frijoles Bush Sazonado Con Tocino Y Azúcar Morena 28 Oz ,1,3,1,2,1,104.90,104.903.3,Despensa > frijoles,https://ik.imagekit.io/wlqrwe5vf6p/frijoles/Frijoles_Bush_Sazonado_Con_Tocino_Y_Az_car_Morena_28_Oz__87-5BsuAh.png
